                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.89241,                0.09607,                0.06844,                0.49211,                 1.1108,                0.99598,                      1,                0.99421,                0.71496,                0.99284,                0.99685,                0.99292,                0.99178,                 1.0677,                0.05997,                0.01807,                0.44318,                 1.3134,              0.0013268,              0.0013268,              0.0013268
                     53,                0.87976,                0.09035,                0.05655,                0.48956,                 1.1048,                0.99025,                0.99054,                0.99214,                0.71007,                 0.9934,                0.99369,                0.99395,                0.99322,                 1.0424,                 0.0593,                 0.0038,                 0.4369,                 1.2883,              0.0013136,              0.0013136,              0.0013136
                     54,                0.86637,                0.09302,                0.06348,                0.47913,                  1.079,                0.99026,                0.99685,                0.99411,                 0.7058,                0.99026,                0.99685,                 0.9942,                0.99282,                 1.0998,                0.06535,                0.00876,                0.45257,                 1.3013,              0.0013004,              0.0013004,              0.0013004
                     55,                0.88318,                0.09708,                0.06193,                0.49371,                 1.1007,                0.99054,                0.99052,                0.99246,                0.70634,                0.99054,                0.99052,                0.99359,                0.99285,                 1.0775,                0.05733,                0.00534,                0.45581,                 1.2799,              0.0012872,              0.0012872,              0.0012872
                     56,                0.86643,                0.08769,                0.06402,                0.48148,                 1.0905,                0.98719,                0.99369,                0.99146,                0.71138,                0.98719,                0.99369,                 0.9937,                 0.9929,                 1.0516,                0.06055,                0.00618,                0.43453,                 1.3215,               0.001274,               0.001274,               0.001274
                     57,                0.86216,                0.09837,                0.06132,                0.47983,                 1.0955,                0.99037,                0.99369,                0.99251,                0.71079,                0.99037,                0.99369,                0.99371,                 0.9927,                 1.0577,                0.05782,                0.00336,                0.43586,                 1.3347,              0.0012608,              0.0012608,              0.0012608
                     58,                0.84159,                0.08829,                  0.058,                0.47593,                 1.0849,                0.99027,                0.99685,                0.99286,                 0.6994,                0.99027,                0.99685,                0.99373,                  0.993,                 1.1002,                0.05508,                 0.0023,                0.43211,                 1.3594,              0.0012476,              0.0012476,              0.0012476
                     59,                0.82691,                 0.0774,                0.05943,                0.46422,                 1.0762,                0.99347,                0.99685,                0.99452,                0.70372,                0.99032,                0.99369,                0.99439,                0.99322,                  1.132,                0.06354,                0.00412,                0.44871,                 1.3659,              0.0012344,              0.0012344,              0.0012344
                     60,                0.82857,                0.08632,                0.05921,                0.46519,                 1.0806,                0.99022,                0.99685,                0.99033,                0.70674,                0.99022,                0.99685,                0.99145,                0.99084,                 1.0729,                0.05863,                0.00613,                0.43578,                 1.3442,              0.0012212,              0.0012212,              0.0012212
                     61,                0.84341,                0.08254,                0.05584,                0.46966,                 1.0896,                0.99059,                0.99654,                0.99232,                0.69112,                0.99059,                0.99654,                0.99328,                0.99281,                 1.1056,                0.05728,                  0.004,                0.43441,                 1.3401,               0.001208,               0.001208,               0.001208
                     62,                0.82849,                0.08837,                0.05896,                0.46307,                 1.0745,                0.99371,                0.99634,                0.99392,                0.71114,                0.99056,                0.99319,                0.99349,                0.99291,                 1.1012,                0.05472,                0.00384,                0.45735,                 1.3541,              0.0011948,              0.0011948,              0.0011948
