epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1193.63,0.77383,0.07025,0.05839,0.46306,1.0209,0.99957,1,0.995,0.75661,0.98708,0.9875,0.98671,0.98626,0.95979,0.09124,0.00361,0.36973,1.19872,0.0010496,0.0010496,0.0010496
74,1209.5,0.75521,0.07501,0.06212,0.45585,1.00591,0.9996,1,0.995,0.75402,0.9871,0.9875,0.98743,0.98743,0.95202,0.09663,0.00273,0.3716,1.17895,0.0010364,0.0010364,0.0010364
75,1225.53,0.77337,0.07566,0.06846,0.46606,1.02226,0.99338,1,0.99469,0.76913,0.98096,0.9875,0.98694,0.98557,0.93391,0.09298,0.00456,0.37286,1.16404,0.0010232,0.0010232,0.0010232
76,1242.52,0.77619,0.07014,0.06405,0.46588,1.01485,0.99962,1,0.995,0.75399,0.98712,0.9875,0.98748,0.98748,1.00048,0.0922,0.00325,0.38198,1.2057,0.00101,0.00101,0.00101
77,1258.43,0.75751,0.07675,0.06442,0.45969,1.01201,0.99966,1,0.995,0.75693,0.98716,0.9875,0.98505,0.98505,1.01616,0.09139,0.0064,0.38247,1.19609,0.0009968,0.0009968,0.0009968
78,1274.69,0.76688,0.07403,0.06993,0.45834,1.01433,0.99962,1,0.995,0.76517,0.98713,0.9875,0.98416,0.98416,0.974,0.08778,0.00396,0.373,1.18544,0.0009836,0.0009836,0.0009836
79,1290.7,0.76536,0.07807,0.06565,0.45409,1.01707,0.9994,1,0.995,0.73782,0.98691,0.9875,0.98538,0.98538,1.03437,0.08789,0.00317,0.39052,1.24809,0.0009704,0.0009704,0.0009704
80,1307.9,0.7515,0.07289,0.05742,0.45724,1.00821,0.99959,1,0.995,0.74405,0.98709,0.9875,0.98504,0.98504,1.01749,0.08799,0.00852,0.38172,1.22682,0.0009572,0.0009572,0.0009572
81,1324.05,0.73995,0.07198,0.06658,0.43942,1.00097,0.99956,1,0.995,0.75696,0.98707,0.9875,0.98382,0.98382,0.9816,0.08928,0.00488,0.37465,1.20093,0.000944,0.000944,0.000944
82,1340.15,0.73062,0.07241,0.05586,0.43756,0.99935,0.99962,1,0.995,0.74827,0.98713,0.9875,0.9834,0.9834,1.02865,0.08583,0.00353,0.38523,1.22309,0.0009308,0.0009308,0.0009308
83,1356.71,0.7407,0.07004,0.05607,0.4485,1.01514,0.99961,1,0.995,0.75318,0.98711,0.9875,0.98311,0.98311,0.99121,0.08535,0.00403,0.37913,1.20836,0.0009176,0.0009176,0.0009176
84,1372.8,0.74736,0.0683,0.05312,0.4399,1.00506,0.99961,1,0.995,0.77709,0.98711,0.9875,0.98878,0.98878,0.97245,0.08428,0.01102,0.36825,1.19023,0.0009044,0.0009044,0.0009044
85,1388.76,0.71731,0.0656,0.04901,0.42186,0.99485,0.99961,1,0.995,0.7777,0.98711,0.9875,0.98707,0.98707,1.00477,0.08382,0.00318,0.37723,1.21244,0.0008912,0.0008912,0.0008912
86,1404.37,0.73155,0.06711,0.05402,0.4345,1.00468,0.99958,1,0.995,0.77909,0.98708,0.9875,0.98883,0.98883,0.96023,0.08632,0.00251,0.36943,1.19097,0.000878,0.000878,0.000878
87,1420.47,0.72003,0.06473,0.05143,0.42503,0.99426,0.99947,1,0.995,0.75168,0.98698,0.9875,0.98594,0.98594,1.03422,0.08904,0.00591,0.38492,1.23969,0.0008648,0.0008648,0.0008648
88,1437.21,0.72811,0.06906,0.05425,0.43084,1.00021,0.99959,1,0.995,0.753,0.9871,0.9875,0.98875,0.98749,1.03343,0.08199,0.00376,0.38267,1.25296,0.0008516,0.0008516,0.0008516
89,1453.15,0.71339,0.06629,0.05795,0.42862,0.99763,0.9996,1,0.995,0.7459,0.98711,0.9875,0.98761,0.98761,1.04551,0.08393,0.00325,0.38574,1.27718,0.0008384,0.0008384,0.0008384
90,1468.91,0.7252,0.06759,0.05608,0.43838,0.99545,0.99963,1,0.995,0.76043,0.98713,0.9875,0.98432,0.98432,0.98221,0.08654,0.00314,0.36853,1.22803,0.0008252,0.0008252,0.0008252
91,1485.86,0.71432,0.05703,0.04715,0.43574,1.00048,0.99961,1,0.995,0.75585,0.98712,0.9875,0.98385,0.98385,0.9994,0.08925,0.00352,0.3785,1.22492,0.000812,0.000812,0.000812
